Cluster ID	Serotype	vOTU in the cluster with the serotype	vOTU in the cluster	percentage of vOTU in the cluster with the serotype	Confidence level
cl60_1103	O3/O3a	2	2	1.0	Highly confident
cl60_1104	O3/O3a	1	1	1.0	Highly confident
cl60_1105	K9	21	35	0.6	Confident
cl60_1106	K47	1	4	0.25	Uncertain
cl60_1108	K15	58	75	0.773333	Confident
cl60_1112	K34	7	8	0.875	Confident
cl60_1113	O3/O3a	2	3	0.666667	Uncertain
cl60_1119	K180	1	1	1.0	Highly confident
cl60_1120	K62	1	1	1.0	Highly confident
cl60_1121	K45	10	13	0.769231	Confident
cl60_1122	K45	4	4	1.0	Highly confident
cl60_1126	K81	7	8	0.875	Confident
cl60_1127	O3/O3a	2	2	1.0	Highly confident
cl60_1128	K3	8	8	1.0	Highly confident
cl60_1129	O101	2	2	1.0	Highly confident
cl60_1130	K117;K3	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_1131	K128	1	1	1.0	Highly confident
cl60_1137	K117	16	22	0.727273	Confident
cl60_1140	O3/O3a;O4	4;5	15	0.266667;0.333333	Confident;Confident
cl60_1144	K128	19	19	1.0	Highly confident
cl60_1149	K63	95	201	0.472637	Confident
cl60_1151	K148	1	1	1.0	Highly confident
cl60_1153	K128	21	24	0.875	Confident
cl60_1154	K177	1	1	1.0	Highly confident
cl60_1155	K64	1	1	1.0	Highly confident
cl60_1157	K17	1	1	1.0	Highly confident
cl60_1160	K2	1	1	1.0	Highly confident
cl60_1162	K64	1	1	1.0	Highly confident
cl60_1163	O2afg	1	1	1.0	Highly confident
cl60_1165	O1;O2afg	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_1166	O1;O2afg	6;5	20	0.3;0.25	Confident;Confident
cl60_1167	O2ac	1	1	1.0	Highly confident
cl60_1187	K17	1	1	1.0	Highly confident
